Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2021,3,Santiago del Estero,19939,85535,909,6147000,2928000,115458
2021,3,Tierra del Fuego,12853,36958,6,16000,390000,50223
2021,3,Tucumán,104489,53868,70964,2408000,743000,232472
2021,2,Buenos Aires,603255,2503830,854173,113546000,57547000,4132351
2021,2,Capital Federal,148989,1175097,41318,5580000,29371000,1400355
2021,2,Catamarca,20305,9426,22331,1449000,2233000,55744
2021,2,Chaco,39826,62948,27584,8018000,2353000,140729
2021,2,Chubut,49271,41497,6081,23682000,18706000,139237
2021,2,Córdoba,239780,467782,151855,55944000,15519000,930880
2021,2,Corrientes,46648,67262,3731,6557000,5303000,129501
2021,2,Entre Ríos,77836,124957,17856,23786000,13197000,257632
2021,2,Formosa,19571,12509,3610,15690000,171000,51551
2021,2,Jujuy,24738,60800,19611,2731000,3968000,111848
2021,2,La Pampa,9017,57014,17132,13209000,1295000,97667
2021,2,La Rioja,11627,54255,9445,6245000,30000,81602
2021,2,Mendoza,91503,70834,44696,21811000,827000,229671
2021,2,Misiones,44960,87861,10376,5317000,7662000,156176
2021,2,Neuquén,30083,72690,15619,19218000,640000,138250
2021,2,Río Negro,48189,43761,18727,15031000,18376000,144084
2021,2,Salta,51396,96016,32050,5724000,6453000,191639
2021,2,San Juan,40072,12369,6673,11372000,8447000,78933
2021,2,San Luis,8417,11308,28,66860000,36205000,122818
2021,2,Santa Cruz,12347,22967,6328,4269000,3071000,48982
2021,2,Santa Fe,256741,431915,90424,43997000,17523000,840600
2021,2,Santiago del Estero,20734,83770,909,5081000,3596000,114090
2021,2,Tierra del Fuego,12853,22504,6,14000,316000,35693
2021,2,Tucumán,110429,48359,71683,1837000,743000,233051
2021,1,Buenos Aires,629679,2452056,821597,98806000,57864000,4060002
2021,1,Capital Federal,159805,1145093,39980,5559000,29236000,1379673
2021,1,Catamarca,26316,4409,18688,322000,2233000,51968
2021,1,Chaco,43214,61251,25426,8004000,1875000,139770
2021,1,Chubut,45501,40960,3444,23723000,18712000,132340
2021,1,Córdoba,260350,444695,134634,54137000,17065000,910881
2021,1,Corrientes,49160,62876,3337,5949000,5303000,126625
2021,1,Entre Ríos,83688,118424,16846,20836000,12169000,251963
2021,1,Formosa,20663,11412,2562,15669000,380000,50686
2021,1,Jujuy,32254,54324,17322,2677000,3879000,110456
2021,1,La Pampa,8946,58711,15779,12369000,1300000,97105
2021,1,La Rioja,17363,34984,1,250000,30000,52628
2021,1,Mendoza,91844,69295,38619,18332000,833000,218923
2021,1,Misiones,48292,82339,7064,4796000,6896000,149387
2021,1,Neuquén,30223,70457,14171,17752000,632000,133235
2021,1,Río Negro,48777,42192,17828,13994000,18377000,141168
2021,1,Salta,54768,89187,31498,5669000,6452000,187574
2021,1,San Juan,40072,11589,6671,11482000,8453000,78267
2021,1,San Luis,8417,10678,28,63826000,36205000,119154
2021,1,Santa Cruz,12347,23089,5975,4264000,390000,46065
2021,1,Santa Fe,277012,421480,70976,39140000,17519000,826127
2021,1,Santiago del Estero,26468,75849,570,5158000,3596000,111641
2021,1,Tierra del Fuego,12853,27247,6,0,316000,40422
2021,1,Tucumán,147199,12185,69954,1834000,740000,231912
2020,4,Buenos Aires,635651,2441248,804991,93444000,57927000,4033261
2020,4,Capital Federal,163060,1142528,39890,4815000,29237000,1379530
2020,4,Catamarca,26870,5115,17856,322000,2233000,52396
2020,4,Chaco,44332,61200,23687,7997000,1875000,139091
2020,4,Chubut,45703,39756,3040,23363000,18712000,130574
2020,4,Córdoba,267396,439322,125620,52827000,17536000,902701
2020,4,Corrientes,50102,61495,3146,5626000,5290000,125659
2020,4,Entre Ríos,85683,113670,15653,20206000,12169000,247381
2020,4,Formosa,21264,10789,2432,15341000,380000,50206
2020,4,Jujuy,32850,52815,15639,1077000,3470000,105851
2020,4,La Pampa,9009,58945,15432,12194000,1315000,96895
2020,4,La Rioja,17513,34984,1,250000,30000,52778
2020,4,Mendoza,91842,68364,36083,18331000,833000,215453
2020,4,Misiones,49462,79855,6589,4359000,6896000,147161
2020,4,Neuquén,30468,70614,13732,17689000,632000,133135
2020,4,Río Negro,48991,42022,17826,13994000,18377000,141210
2020,4,Salta,56659,87817,30604,5858000,6452000,187390
2020,4,San Juan,40072,7004,6599,10468000,8453000,72596
2020,4,San Luis,8417,11767,27,63019000,36205000,119435
2020,4,Santa Cruz,12347,19657,1041,4659000,2970000,40674
2020,4,Santa Fe,287271,414746,62692,38712000,17392000,820813
2020,4,Santiago del Estero,26812,70522,570,5169000,3596000,106669
2020,4,Tierra del Fuego,12853,26439,6,0,316000,39614
2020,4,Tucumán,149322,11150,68043,1834000,740000,231089
2020,3,Buenos Aires,653930,2384557,749087,94162000,55541000,3937277
2020,3,Capital Federal,170375,1129573,39417,3936000,29374000,1372675
2020,3,Catamarca,26868,3690,16857,261000,2228000,49904
2020,3,Chaco,45745,58825,20675,6706000,2003000,133954
2020,3,Chubut,45761,39386,2897,23216000,18767000,130027
2020,3,Córdoba,276360,430771,102217,48368000,9756000,867472
2020,3,Corrientes,50858,58681,2960,5513000,5379000,123391
2020,3,Entre Ríos,87892,106950,13954,20379000,12320000,241495
2020,3,Formosa,21790,10003,2000,15023000,393000,49209
2020,3,Jujuy,32611,57682,11112,952000,4371000,106728
2020,3,La Pampa,9015,56845,14677,11893000,1305000,93735
2020,3,La Rioja,17346,34984,1,250000,35000,52616
2020,3,Mendoza,91908,64672,32817,17523000,868000,207788
2020,3,Misiones,50195,77989,2572,3445000,8985000,143186
2020,3,Neuquén,30222,70446,11043,16787000,737000,129235
2020,3,Río Negro,49530,40001,10381,13187000,18368000,131467
2020,3,Salta,58216,84128,25445,5764000,7293000,180846
2020,3,San Juan,40092,9223,5509,14023000,8480000,77327
2020,3,San Luis,8401,10077,6,61828000,36253000,116565
2020,3,Santa Cruz,12845,16098,1027,6938000,2373000,39281
2020,3,Santa Fe,295051,405807,45721,37112000,19307000,802998
2020,3,Santiago del Estero,26419,70720,555,4185000,3613000,105492
2020,3,Tierra del Fuego,12854,26491,0,0,310000,39655
2020,3,Tucumán,149605,11752,59949,1808000,762000,223876
2020,2,Buenos Aires,661272,2244277,723072,91736000,57189000,3777546
2020,2,Capital Federal,178896,1106133,39482,3937000,29373000,1357821
2020,2,Catamarca,26968,3641,14878,261000,2228000,47976
2020,2,Chaco,46816,56017,17266,6452000,1581000,128132
2020,2,Chubut,45761,38279,1324,17678000,5614000,108656
2020,2,Córdoba,282858,415007,85818,44522000,8263000,836468
2020,2,Corrientes,51248,55536,3144,3927000,5011000,118866
2020,2,Entre Ríos,89391,99423,13954,20042000,11303000,234113
2020,2,Formosa,21805,9353,1882,14723000,169000,47932
2020,2,Jujuy,32705,38938,5057,952000,16664000,94316
2020,2,La Pampa,8551,54422,14232,11314000,1290000,89809
2020,2,La Rioja,16885,34984,1,250000,35000,52155
2020,2,Mendoza,91904,62941,29613,15924000,802000,201184
2020,2,Misiones,50792,74497,2579,3319000,9153000,140340
2020,2,Neuquén,30256,67990,11037,15755000,1134000,126172
2020,2,Río Negro,49756,39650,10382,11331000,18367000,129486
2020,2,Salta,59502,81740,24289,5123000,7108000,177762
2020,2,San Juan,40092,8275,5509,7019000,8882000,69777
2020,2,San Luis,8401,8357,6,60935000,36253000,113952
2020,2,Santa Cruz,12845,16044,1027,6585000,2368000,38869
2020,2,Santa Fe,299974,381679,46698,30487000,19094000,777932
2020,2,Santiago del Estero,25917,72074,355,3038000,4063000,105447
2020,2,Tierra del Fuego,12854,26025,0,0,310000,39189
2020,2,Tucumán,150084,9833,55120,1357000,762000,217156
2020,1,Buenos Aires,673237,2210349,720688,85443000,18334000,3708051
2020,1,Capital Federal,184494,1097635,38898,3911000,28556000,1353494
2020,1,Catamarca,21945,3146,12056,261000,2227000,39635
2020,1,Chaco,46356,54144,11958,6239000,1580000,120277
2020,1,Chubut,45763,27287,1324,16885000,5479000,96738
2020,1,Córdoba,286168,406109,68512,41617000,8693000,811099
2020,1,Corrientes,51126,53231,2172,2437000,5004000,113970
2020,1,Entre Ríos,90368,95434,13245,18737000,14062000,231846
2020,1,Formosa,21068,8887,1800,14510000,169000,46434
2020,1,Jujuy,32066,38938,3078,942000,16641000,91665
2020,1,La Pampa,8553,53755,13821,11295000,1802000,89226
2020,1,La Rioja,13076,34984,0,251000,29000,48340
2020,1,Mendoza,91955,50251,28059,12465000,722000,183452
2020,1,Misiones,51458,69452,1220,460000,10962000,133552
2020,1,Neuquén,29305,65951,11031,14711000,729000,121727
2020,1,Río Negro,47756,38479,10381,11222000,18362000,126200
2020,1,Salta,60426,75593,23025,4125000,7212000,170381
2020,1,San Juan,40092,6448,5508,7082000,5101000,64231
2020,1,San Luis,8301,7612,5,58301000,36333000,110552
2020,1,Santa Cruz,12845,15766,1026,6817000,2368000,38822
2020,1,Santa Fe,302366,383673,35123,30488000,19468000,771118
2020,1,Santiago del Estero,24695,70424,200,2779000,4657000,102755
2020,1,Tierra del Fuego,12854,25632,0,0,308000,38794
2020,1,Tucumán,143184,10494,44687,1355000,347000,200067
2019,4,Buenos Aires,720011,2191672,669194,87111000,18266000,3686254
2019,4,Capital Federal,196938,1093143,35534,3914000,28576000,1358105
2019,4,Catamarca,22999,3318,9506,261000,2227000,38311
2019,4,Chaco,48661,53602,8831,5229000,1580000,117903
2019,4,Chubut,47045,26977,1324,15267000,5489000,96102
2019,4,Córdoba,296872,410038,53335,37750000,8693000,806688
2019,4,Corrientes,52525,51845,2002,2458000,5004000,113834
2019,4,Entre Ríos,92981,99206,12875,18561000,15407000,239030
2019,4,Formosa,21567,8684,1760,14531000,169000,46711
2019,4,Jujuy,32949,37604,873,814000,16641000,88881
2019,4,La Pampa,15457,56854,4942,11341000,1805000,90399
2019,4,La Rioja,13738,34984,0,251000,29000,49002
2019,4,Mendoza,96678,49711,24989,13672000,730000,185780
2019,4,Misiones,53116,69676,847,441000,11733000,135813
